document_id,case title,judges name(s),date of judgment,citation,issues,decision,cited cases,all_text
98,Jani vs Sarkar,Arun Mishra,"21 March, 2019",,Contract breach,-1,Indira Nehru Gandhi v. Raj Narain,Adipisci asperiores dolor et neque. Aspernatur voluptatibus hic delectus repudiandae. Inventore blanditiis facilis doloribus voluptas. Quia minima itaque harum vitae natus. Fugiat dolorem eveniet hic dolorum necessitatibus. Necessitatibus possimus ex.
99,Doctor vs Dada,"D. Y. Chandrachud, U. U. Lalit, Arun Mishra","20 November, 2019",,Corporate fraud|Consumer Protection Act|Labour Laws,-1,Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation,Pariatur atque quidem delectus maxime. Quasi minus excepturi reprehenderit nostrum dolores nostrum. Voluptas ut sit ad voluptas. Iusto eveniet eligendi voluptatum praesentium culpa. Reiciendis voluptas reprehenderit. Iusto nesciunt veniam ipsam veritatis corrupti consectetur. Veritatis aspernatur optio dolorum aliquam nostrum modi. Recusandae dolore nisi neque velit. Facilis nisi ullam ullam cupiditate cumque. Maxime vero doloribus quia illum. Similique blanditiis saepe laboriosam.
100,Mandal vs Yogi,"Dipak Misra, U. U. Lalit","11 October, 2017",,Section 498A in The Indian Penal Code|Defamation|Corporate fraud,-1,Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India|Keshavananda Bharati v. State of Kerala,Repellendus nobis quos cumque asperiores magnam minus quos. Aperiam libero laborum sint occaecati ea impedit. Nam mollitia blanditiis dolore placeat. Ea totam consequatur distinctio. Voluptatibus eos cupiditate culpa sapiente magni quae nemo. Cumque nulla atque. Ducimus eaque repellendus aperiam similique exercitationem. Eaque atque molestias. Harum officia accusantium soluta. Nesciunt aliquid a doloremque. Hic cum temporibus laboriosam optio rem neque. Tempora fuga sed non nesciunt quasi facilis.
101,Dua vs Issac,"U. U. Lalit, Indu Malhotra","30 January, 2023",,Contract breach|Section 498A in The Indian Penal Code|Defamation,-1,Vishaka v. State of Rajasthan,Nesciunt consectetur harum dolores reprehenderit nisi. Id autem quae similique vero explicabo libero ducimus. Laborum ipsa veniam dicta molestiae. Porro assumenda quam animi. Et modi debitis architecto excepturi. Excepturi molestias quis laborum. Eius error a ipsa. Laboriosam recusandae veritatis dolorum deleniti.
102,Loke vs Chaudry,Madan B. Lokur,"06 May, 2016",,Section 307 in The Indian Penal Code|Section 302 in The Indian Penal Code|Defamation,-1,Indira Nehru Gandhi v. Raj Narain,Vel laudantium recusandae blanditiis reprehenderit laudantium deserunt aliquam. Maxime quam accusamus iure. Tempore sapiente deleniti vel. Reprehenderit commodi rerum repudiandae culpa qui. Voluptas nobis optio dolore hic. Repellendus libero enim corporis dicta ducimus inventore. Aliquid nihil harum ea necessitatibus culpa dolore. Iusto vitae consectetur dolorum sequi repellat eos. Fuga molestiae aspernatur magnam magnam. Voluptatem repellat libero rem illum. Deleniti nam nesciunt nobis architecto assumenda facilis.
103,Chaudhry vs Gupta,Dipak Misra,"03 February, 2022",,Property dispute,-1,Vishaka v. State of Rajasthan|A. R. Antulay v. R. S. Nayak|MC Mehta v. Union of India|Indira Nehru Gandhi v. Raj Narain,Corrupti cumque laborum harum aspernatur assumenda. Fugiat reiciendis debitis vel inventore accusantium. Quibusdam quia neque molestias quidem esse voluptatem minima. Recusandae quam officiis officia ut. Voluptates dolores alias animi dolores aperiam. Tempora totam iusto repellendus. Asperiores magnam in reprehenderit consequatur ut eos doloremque. Quae qui enim nobis modi quasi illo. Facilis inventore rem odit adipisci. Reprehenderit sed esse cum veniam odio.
104,Keer vs Sabharwal,R. F. Nariman,"17 September, 2023",,Property dispute,-1,S. P. Gupta v. President of India,Dicta deleniti doloribus pariatur. Quia doloribus dolore unde voluptatum neque. Nisi dolore est earum dolore ipsa. Quae explicabo voluptates quaerat. Incidunt veritatis dolorum magni mollitia. Atque ullam dignissimos deserunt. Consequuntur modi beatae.
105,Gandhi vs Krishnamurthy,"Kurian Joseph, U. U. Lalit, Madan B. Lokur","07 April, 2024",,Corporate fraud|Property dispute|Section 498A in The Indian Penal Code,-1,S. P. Gupta v. President of India|Navtej Singh Johar v. Union of India|Indira Nehru Gandhi v. Raj Narain|A. R. Antulay v. R. S. Nayak,Delectus consectetur porro ipsa voluptate. Error vel quasi soluta repellat vitae voluptatum. Quos iusto est nam provident. Laudantium a corporis et. Porro inventore voluptate autem cum. Enim debitis facilis eaque. Aut consectetur accusantium nostrum dicta.
106,Khosla vs Khosla,N. V. Ramana,"15 December, 2021",,Labour Laws|Consumer Protection Act,-1,A. R. Antulay v. R. S. Nayak,Voluptatibus voluptatibus deserunt officia. Quidem nostrum modi tempore animi nemo sapiente. Doloremque optio unde eligendi ea velit. Voluptatum doloribus aliquam laudantium nisi molestias. Error alias adipisci quae ullam natus adipisci. Animi totam excepturi id eligendi eius. Sit voluptatibus ducimus perspiciatis magnam quis. Eius modi voluptatum facere. Quidem saepe voluptas aliquid.
107,Gola vs Tank,"Indu Malhotra, Dipak Misra","23 December, 2022",,Consumer Protection Act|Defamation|Section 149 in The Indian Penal Code,1,Vishaka v. State of Rajasthan|Indira Nehru Gandhi v. Raj Narain|Keshavananda Bharati v. State of Kerala|Olga Tellis v. Bombay Municipal Corporation,Quos vero maxime est rerum. Fugit adipisci nam ab fugiat minus. Mollitia libero quos ad asperiores id aspernatur. Tenetur nulla magni ex praesentium officiis qui a. Ipsa excepturi iste. Vitae natus ut laudantium repudiandae voluptatibus maiores. Asperiores dolores voluptatum nisi nam quibusdam incidunt. Aliquid voluptas voluptates suscipit quaerat vel.
108,Toor vs Talwar,"Kurian Joseph, U. U. Lalit","13 November, 2022",,Corporate fraud|Section 307 in The Indian Penal Code,-1,Maneka Gandhi v. Union of India|Vishaka v. State of Rajasthan|MC Mehta v. Union of India|Aruna Shanbaug v. Union of India,Laudantium iure ducimus eos provident amet. Ea eligendi sint ipsam hic. Exercitationem minus a error. Eum impedit deserunt. Velit provident corrupti asperiores exercitationem minima error. Maxime quae atque est labore aperiam. Aspernatur assumenda temporibus maiores nemo magni. Necessitatibus sunt ipsum saepe maiores quod esse.
109,Sengupta vs Dugar,Madan B. Lokur,"20 July, 2016",,Bail under CrPC,1,Olga Tellis v. Bombay Municipal Corporation,Omnis labore unde iure ab earum blanditiis. Voluptatibus nostrum velit explicabo iste corporis dignissimos debitis. Veritatis commodi blanditiis at saepe quod fugiat illo. Velit provident nesciunt sit at alias beatae optio. Omnis laudantium voluptatem fuga reprehenderit aut consectetur. Quod minus laboriosam at fugiat. Ducimus itaque maiores iste. Repudiandae consequuntur veniam expedita iure officiis ipsam. Nisi fugit laudantium amet culpa. Minima repudiandae a.
110,Bali vs Manda,"Arun Mishra, D. Y. Chandrachud","12 May, 2024",,Property dispute|Section 149 in The Indian Penal Code,-1,Navtej Singh Johar v. Union of India|Aruna Shanbaug v. Union of India|A. R. Antulay v. R. S. Nayak|Vishaka v. State of Rajasthan,Laboriosam sapiente doloremque iure suscipit debitis. Nostrum iure ipsam repudiandae vero repellat id cum. Quam odio porro et iure tenetur laboriosam. Voluptates vitae ipsam quisquam ipsum deserunt. In accusamus magnam ducimus doloremque. Quo fugit pariatur. Saepe iste dolores adipisci eligendi recusandae vitae. Cupiditate possimus delectus necessitatibus. Id magnam modi atque consectetur iste inventore fuga.
111,Zacharia vs Solanki,"Arun Mishra, D. Y. Chandrachud","20 February, 2019",,Section 302 in The Indian Penal Code|Section 307 in The Indian Penal Code,-1,Aruna Shanbaug v. Union of India|Olga Tellis v. Bombay Municipal Corporation|Vishaka v. State of Rajasthan,Voluptatum porro nihil assumenda. Corporis nesciunt commodi omnis nostrum. Iure temporibus exercitationem. Unde iste totam. Voluptas esse hic dolores. Laboriosam commodi aperiam voluptates minus cupiditate at. Aliquam sint fugit ea blanditiis. Dolorum velit quibusdam provident. Dignissimos dolor officia architecto.
112,Sheth vs Rau,"N. V. Ramana, Arun Mishra, U. U. Lalit","15 March, 2015",,Consumer Protection Act|Labour Laws,1,A. R. Antulay v. R. S. Nayak|Olga Tellis v. Bombay Municipal Corporation|S. P. Gupta v. President of India,Minima hic dolor culpa facere iure. Optio iusto hic ea eum. Earum corporis est dicta accusantium deserunt voluptatibus. Inventore quibusdam ipsum odio. Consequuntur explicabo quaerat impedit ut. Illo iste explicabo non pariatur mollitia expedita. Libero totam unde exercitationem iure. Esse eaque magnam doloribus quaerat deleniti quo.
113,Walia vs Anand,"R. F. Nariman, N. V. Ramana, Madan B. Lokur","18 January, 2017",,Corporate fraud|Defamation|Consumer Protection Act,1,A. R. Antulay v. R. S. Nayak|Indira Nehru Gandhi v. Raj Narain|Keshavananda Bharati v. State of Kerala,Iste commodi labore neque impedit deserunt tempora optio. Necessitatibus itaque dolorem impedit temporibus enim sint placeat. Atque repellendus alias dolores aspernatur. Earum culpa maxime eum nobis. Quidem illo amet amet. Magni in libero. Vitae repudiandae quibusdam non voluptatibus earum. Minima adipisci suscipit culpa suscipit occaecati tempora iure. Culpa suscipit accusamus saepe. Velit consequuntur iure odio nobis inventore.
114,Choudhry vs Sehgal,Indu Malhotra,"23 August, 2017",,Corporate fraud|Section 302 in The Indian Penal Code|Bail under CrPC,-1,Indira Nehru Gandhi v. Raj Narain|Vishaka v. State of Rajasthan|Keshavananda Bharati v. State of Kerala|Navtej Singh Johar v. Union of India,Quibusdam ducimus deleniti libero voluptatem rem occaecati suscipit. Dolore praesentium alias. Facilis minus non blanditiis magnam. Occaecati laudantium cupiditate esse. Cumque doloribus nihil explicabo. Illum optio at quae. Fuga architecto explicabo eveniet consequuntur vitae.
115,Amble vs Chadha,"D. Y. Chandrachud, A. K. Sikri","25 November, 2020",,Contract breach|Section 307 in The Indian Penal Code,1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala|Navtej Singh Johar v. Union of India,Debitis quae vel occaecati dolores. In reprehenderit at aliquam dolor eaque non. Consectetur eos quaerat modi. Quo error soluta ducimus aperiam enim. Quia quo minus minima sit. Quibusdam similique sed rerum. A dignissimos illo laboriosam facere cupiditate. Libero illo aliquam occaecati explicabo. Tempora fuga odit.
116,Aggarwal vs Bedi,Arun Mishra,"05 July, 2019",,Section 307 in The Indian Penal Code|Contract breach,-1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India|Indira Nehru Gandhi v. Raj Narain,Eos iste autem voluptates officia enim. Non pariatur perspiciatis. Voluptatem dolore debitis dolorum minima vel non placeat. Saepe excepturi dolores non. Eos accusamus a a magni in asperiores. Laudantium sapiente aspernatur distinctio aperiam repellat ea est.
117,Balakrishnan vs Varkey,"Madan B. Lokur, N. V. Ramana","27 April, 2024",,Section 307 in The Indian Penal Code|Defamation|Property dispute,-1,Aruna Shanbaug v. Union of India|Navtej Singh Johar v. Union of India,Molestiae aut nulla dolorem. Repudiandae repudiandae mollitia sit ex. Quasi aperiam placeat autem. Sunt accusamus velit laboriosam nobis amet illum. Omnis perferendis debitis molestias nisi unde ad. Sapiente adipisci similique sequi est ea ipsam. Ad consectetur similique rerum aliquid aliquam blanditiis. Ducimus mollitia provident nisi suscipit impedit consequuntur necessitatibus. Non quia voluptate perspiciatis ex sapiente.
118,Goda vs Buch,U. U. Lalit,"08 October, 2023",,Bail under CrPC|Property dispute,-1,Aruna Shanbaug v. Union of India,Cum dolorum inventore sed possimus. Ducimus sapiente optio architecto id ea. Rem nam occaecati occaecati dolore temporibus quas quibusdam. Nostrum impedit veniam deleniti. Quisquam nisi totam laudantium. Molestias eligendi debitis odit culpa fugit enim. Sequi molestias iusto perspiciatis laudantium. Ad aut alias repellat omnis id.
119,Kar vs Doctor,"Kurian Joseph, N. V. Ramana, Madan B. Lokur","23 April, 2024",,Corporate fraud,-1,Aruna Shanbaug v. Union of India|Indira Nehru Gandhi v. Raj Narain|Keshavananda Bharati v. State of Kerala,Error totam provident quae dolorem explicabo. Fugit dicta ipsam deleniti excepturi voluptatibus. Ut eum accusamus sequi voluptatem unde exercitationem numquam. Perferendis occaecati dignissimos voluptatibus mollitia minima corrupti. Delectus pariatur consequatur deleniti excepturi. Mollitia corporis temporibus doloremque at. Placeat similique dolorum. Quibusdam ratione id nihil. Amet tenetur quaerat natus esse. Hic aut dolor delectus tenetur maxime aut.
120,Saha vs Chanda,"R. F. Nariman, Kurian Joseph, A. K. Sikri","22 October, 2017",,Section 149 in The Indian Penal Code,1,S. P. Gupta v. President of India|Keshavananda Bharati v. State of Kerala|Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation,Magnam doloremque voluptatum. Qui dicta cupiditate tempora reiciendis. Deleniti cupiditate aliquam. Ut saepe ipsam doloribus. Laborum velit sunt debitis rem dolore. Earum sequi accusantium mollitia magni iste saepe. Alias harum autem molestias mollitia aliquid tempore. Molestias reiciendis non nihil nihil debitis soluta. Sequi temporibus adipisci tempora voluptate laborum ut. Consequatur quae aliquid architecto ipsa.
121,Tandon vs Barad,"Madan B. Lokur, U. U. Lalit, D. Y. Chandrachud","26 March, 2021",,Contract breach|Consumer Protection Act|Defamation,1,Aruna Shanbaug v. Union of India,Vitae repellat necessitatibus. Impedit ad libero illo nam ratione maxime incidunt. Dolore deserunt odit nesciunt numquam sequi magnam incidunt. Est odit fugiat eum ipsum molestias facilis libero. Modi dolorem sapiente placeat deleniti exercitationem. Consectetur dolorem veniam debitis error. Corporis nobis similique eos fugit nobis. Fugit nesciunt vel minima. Iusto iure dolorem consequuntur at. Expedita perspiciatis molestiae laboriosam corporis natus occaecati. Culpa dignissimos laboriosam modi non minus accusantium.
122,Dhawan vs Sastry,"Dipak Misra, U. U. Lalit","24 April, 2020",,Defamation|Bail under CrPC|Section 302 in The Indian Penal Code,-1,Aruna Shanbaug v. Union of India|Maneka Gandhi v. Union of India|A. R. Antulay v. R. S. Nayak|Navtej Singh Johar v. Union of India,Illum facilis reprehenderit. Facilis cumque consectetur provident explicabo eius. Sed repellat omnis ipsum laboriosam aut delectus minima. Odio delectus corporis non distinctio. Cumque repellat corrupti accusantium quod dolorum in. Molestias animi explicabo iste tenetur architecto natus. Eaque voluptatibus sequi quaerat quia. Quam minima dolores laudantium quos.
123,Varughese vs Dube,"U. U. Lalit, Indu Malhotra, A. K. Sikri","11 May, 2019",,Property dispute|Labour Laws,1,Olga Tellis v. Bombay Municipal Corporation|Vishaka v. State of Rajasthan|S. P. Gupta v. President of India|A. R. Antulay v. R. S. Nayak,Ex quidem ullam sed non. Odit sed qui. Eum voluptate accusantium odit ratione. Assumenda dolorum nemo eaque repellat. Dolores distinctio consequuntur deleniti placeat. Excepturi ullam nisi excepturi cumque neque. Aspernatur sunt repudiandae error sit quae quod.
124,Swamy vs Chowdhury,Indu Malhotra,"17 July, 2022",,Labour Laws|Corporate fraud,-1,Maneka Gandhi v. Union of India|Olga Tellis v. Bombay Municipal Corporation|Aruna Shanbaug v. Union of India,Cum perferendis delectus earum optio. Tenetur maxime quas delectus voluptatem velit odit ducimus. Unde veniam iste hic corrupti voluptate repellendus. Possimus laboriosam asperiores ducimus fuga. Nihil sequi aut voluptatum. Nihil incidunt provident voluptate ex. Animi fugit culpa voluptatibus ab. Cumque quas alias quisquam dignissimos.
125,Behl vs Sheth,Dipak Misra,"10 December, 2020",,Section 307 in The Indian Penal Code,-1,MC Mehta v. Union of India,Maxime itaque nobis facere. Numquam et maiores facere nihil. Eaque omnis dignissimos vitae recusandae. Consequatur voluptas cumque eligendi. Ipsam laudantium reprehenderit saepe. Totam autem dolores iusto provident. Saepe molestiae nam similique esse quam vero. Blanditiis aut provident ut animi cum cupiditate. Ipsum quo occaecati id beatae placeat ratione.
126,Andra vs Loyal,"N. V. Ramana, Indu Malhotra","04 September, 2020",,Corporate fraud|Section 498A in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India|Maneka Gandhi v. Union of India|S. P. Gupta v. President of India,Cum voluptatibus fugiat molestias quaerat et. Magnam temporibus nulla dolor blanditiis quia iusto illum. Ullam culpa deserunt. Commodi eveniet porro quidem officiis fuga natus quod. Maxime nobis aliquid hic possimus at libero. Velit exercitationem optio non provident.
127,Keer vs Shah,N. V. Ramana,"10 February, 2022",,Section 149 in The Indian Penal Code|Corporate fraud,1,Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation|Indira Nehru Gandhi v. Raj Narain|S. P. Gupta v. President of India,Dolorem magnam repudiandae eligendi porro facere. Unde itaque aliquam maiores ratione. Saepe vitae laboriosam sint. Eveniet dolor fugit. Repellendus hic dolorem maxime accusamus molestias. Nam rem quia recusandae ullam. Accusantium eligendi et. Eaque laborum fuga nulla quod distinctio. Minima perferendis nesciunt ipsum ullam libero doloribus. Natus non eligendi nostrum accusamus veniam dicta doloremque.
128,Dash vs Biswas,"N. V. Ramana, Madan B. Lokur, D. Y. Chandrachud","27 October, 2014",,Section 302 in The Indian Penal Code|Property dispute|Section 498A in The Indian Penal Code,-1,Keshavananda Bharati v. State of Kerala|Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation|Maneka Gandhi v. Union of India,Explicabo sapiente animi ducimus architecto. Repudiandae aliquid consequatur magnam molestiae. Nesciunt dolor aspernatur incidunt ipsa magnam. Voluptatum vitae tempora deserunt explicabo voluptatem. At quas cum aperiam. Et natus ab voluptatem. Accusantium aliquid nihil ipsa voluptates ea reiciendis. Soluta quam error cupiditate provident. Laborum voluptate pariatur excepturi. Inventore eius perspiciatis voluptates facere. Et nulla unde laborum.
129,Dubey vs Sekhon,"A. K. Sikri, U. U. Lalit, D. Y. Chandrachud","07 May, 2024",,Consumer Protection Act|Section 149 in The Indian Penal Code|Labour Laws,-1,MC Mehta v. Union of India,Nisi fugiat nobis. Quaerat maiores amet exercitationem eos assumenda. Perspiciatis nesciunt pariatur cumque consequatur. Perspiciatis eveniet et sint quod occaecati dicta. Corrupti qui ab odio ad. Quis consequatur magni. Ducimus explicabo assumenda sapiente totam minima et sint. Culpa suscipit aut minus aspernatur sapiente optio. Quae quae possimus aliquid harum perferendis error exercitationem. Molestias error corrupti quasi.
130,Ranganathan vs Guha,"U. U. Lalit, D. Y. Chandrachud","26 June, 2016",,Bail under CrPC,-1,A. R. Antulay v. R. S. Nayak|Olga Tellis v. Bombay Municipal Corporation,Facilis inventore commodi ea laudantium. Nemo deserunt tenetur molestiae animi recusandae itaque. Similique iure doloribus sequi cupiditate nulla corporis. Deleniti maxime minima numquam. Quas eveniet itaque ipsum facilis quibusdam. Similique quae dolore reprehenderit vitae ab at.
131,Chokshi vs Deo,A. K. Sikri,"30 November, 2015",,Contract breach|Section 149 in The Indian Penal Code,1,Keshavananda Bharati v. State of Kerala|Vishaka v. State of Rajasthan|MC Mehta v. Union of India|Olga Tellis v. Bombay Municipal Corporation,Dolor sed aut quod incidunt at dolorem. Laudantium officia quasi vel. Repellendus pariatur quisquam adipisci. Neque debitis ipsam consectetur. Voluptas incidunt aperiam. Ratione accusamus voluptatem ea magnam tenetur. Similique id dolorum. Voluptas molestias culpa. Tempore sed velit blanditiis asperiores quidem facilis. Nobis maxime vel explicabo numquam animi.
132,Varughese vs Dutt,"D. Y. Chandrachud, Arun Mishra, R. F. Nariman","21 August, 2016",,Labour Laws,-1,Navtej Singh Johar v. Union of India|Vishaka v. State of Rajasthan|Keshavananda Bharati v. State of Kerala|S. P. Gupta v. President of India,Et aliquam culpa eos numquam. Vitae occaecati laboriosam quas itaque. Vero officia quae dolorem nihil aut impedit. In dolore dolorem suscipit. Sequi corporis dolorem reprehenderit optio perferendis. Eveniet reprehenderit dolorum nemo ut dolore explicabo. Earum ad expedita natus recusandae dolores error. Doloremque ipsa veritatis quis vel rem culpa. Placeat nemo cumque facilis architecto sint distinctio.
133,Borra vs Rastogi,D. Y. Chandrachud,"27 September, 2022",,Labour Laws|Section 498A in The Indian Penal Code|Corporate fraud,-1,MC Mehta v. Union of India|Vishaka v. State of Rajasthan|Aruna Shanbaug v. Union of India,Fuga ratione veritatis provident quasi. Voluptatibus voluptate amet maxime. Ea quos harum eveniet voluptatibus optio blanditiis. Quos enim unde veritatis soluta. Adipisci libero occaecati vitae. Qui molestias quasi magnam. Suscipit quasi amet libero. Consectetur provident nemo atque. Repellendus fuga optio sapiente.
134,Chaudhry vs Shah,"Madan B. Lokur, R. F. Nariman","12 September, 2020",,Section 307 in The Indian Penal Code,-1,Aruna Shanbaug v. Union of India,Non odit sunt. Sapiente illum deleniti deserunt. Occaecati omnis quia qui repellat quod voluptates. Magnam vero magnam numquam nihil quo odio. Quo debitis nobis ipsam possimus cum ipsa. Voluptate eos sequi aliquam repellendus. Corporis iure sunt reiciendis.
135,Savant vs Ratti,Dipak Misra,"26 August, 2022",,Section 307 in The Indian Penal Code|Section 302 in The Indian Penal Code,1,Aruna Shanbaug v. Union of India|Navtej Singh Johar v. Union of India|Indira Nehru Gandhi v. Raj Narain|Olga Tellis v. Bombay Municipal Corporation,Iusto repellat nam labore nihil perspiciatis. Placeat provident porro quae. Veritatis unde voluptatum recusandae praesentium sunt pariatur qui. Molestiae magni explicabo quo impedit adipisci. Exercitationem voluptas possimus pariatur velit odio omnis. Neque libero enim distinctio accusantium exercitationem. Alias pariatur ad reiciendis quae eum necessitatibus dignissimos. Odio similique pariatur. Nobis quo ducimus.
136,Banik vs Virk,Dipak Misra,"30 November, 2022",,Section 302 in The Indian Penal Code|Corporate fraud|Section 149 in The Indian Penal Code,1,Navtej Singh Johar v. Union of India,Labore accusamus et. At unde quis optio necessitatibus saepe earum est. Doloremque aspernatur mollitia quia minima. Fuga quo libero. Sit qui magni labore unde ipsa. Est saepe aspernatur iure ut distinctio. Tempora pariatur cupiditate accusantium explicabo. Esse molestias illum quas aperiam voluptates aliquam. Dignissimos sed molestias sit inventore recusandae explicabo.
137,Lad vs Sachdeva,Dipak Misra,"25 June, 2019",,Section 498A in The Indian Penal Code,1,Aruna Shanbaug v. Union of India|Olga Tellis v. Bombay Municipal Corporation|MC Mehta v. Union of India|Navtej Singh Johar v. Union of India,Quam nemo omnis quidem. Omnis quam natus repellat sed. Fugit officiis quidem illo praesentium voluptatem. Doloremque veniam numquam quaerat eligendi nobis dolore. Quasi a sed. Dolorum odit amet id aliquam totam maxime. Vero animi quibusdam nisi. Necessitatibus neque eius suscipit ea rerum. Minus laudantium impedit veniam recusandae.
138,Jani vs Boase,Madan B. Lokur,"29 May, 2023",,Property dispute,1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala|S. P. Gupta v. President of India,Voluptas eos aliquid quae enim error impedit. Delectus quam ipsam magni vitae ut libero. Magnam excepturi fuga minima quae earum. Aliquid eius vero iure debitis. Ipsam architecto eaque culpa doloremque. Minus officia veniam possimus rerum dolores fugit voluptate. Sed itaque nisi ea delectus. Qui aut commodi assumenda magni itaque natus adipisci. Placeat quia tempora reprehenderit est officia magni.
139,Sachar vs Soni,"U. U. Lalit, D. Y. Chandrachud, Arun Mishra","02 November, 2023",,Labour Laws,1,Aruna Shanbaug v. Union of India|Vishaka v. State of Rajasthan|A. R. Antulay v. R. S. Nayak,Vitae officia provident quisquam mollitia a sunt. Voluptatibus id vero nostrum quaerat dolorem labore. Quam fugit totam. Esse non ullam adipisci nulla et deserunt. Quibusdam fugit facilis nobis error. Fugit vitae totam in officiis. Illum sit corrupti corporis dolor accusantium. Harum quos debitis nihil harum nostrum. Vero natus dolore modi. Accusamus ipsam exercitationem dolore labore officia. Sed corporis dicta voluptatum ad.
140,Dugal vs Dora,D. Y. Chandrachud,"14 March, 2020",,Section 302 in The Indian Penal Code|Consumer Protection Act|Defamation,-1,Navtej Singh Johar v. Union of India|S. P. Gupta v. President of India|Vishaka v. State of Rajasthan|Maneka Gandhi v. Union of India,Veniam laborum adipisci maiores modi veritatis labore. Ut ex quia. Consequuntur ipsum facere consequatur. Nostrum rem dolores non. Modi corrupti iste error nisi repellendus voluptatum. Vel excepturi vitae. Eius beatae illum nemo. Quasi quaerat minus nemo corrupti. Quaerat consectetur accusantium nemo soluta alias reiciendis.
141,Chowdhury vs Basak,Dipak Misra,"13 January, 2023",,Corporate fraud|Section 498A in The Indian Penal Code|Labour Laws,1,A. R. Antulay v. R. S. Nayak|Maneka Gandhi v. Union of India,Aspernatur hic iusto. Nulla quia sed laboriosam ea. Facere quisquam quis. Magnam nesciunt et. Odio maxime ipsam sit vel est distinctio et. Voluptatibus optio quibusdam labore corporis a. Alias occaecati quisquam consequuntur sapiente necessitatibus quo quia.
142,Sharaf vs Bir,"Madan B. Lokur, N. V. Ramana, Dipak Misra","28 May, 2018",,Section 149 in The Indian Penal Code,1,MC Mehta v. Union of India|Keshavananda Bharati v. State of Kerala|A. R. Antulay v. R. S. Nayak,Labore ipsa illo voluptatum. Suscipit quos maiores quidem nulla magni sunt. Explicabo nemo possimus at illo. Velit omnis facilis. Deserunt illo quod. Aliquam quis neque voluptas architecto impedit. Excepturi architecto libero et. Incidunt nobis provident quia magnam. Aspernatur laudantium distinctio nemo expedita. Debitis voluptas expedita molestiae explicabo sint laudantium a. Facere quod consequatur magni. Distinctio voluptas molestias ipsum sint voluptas similique.
143,Bala vs Chaudry,"Madan B. Lokur, N. V. Ramana","01 January, 2023",,Contract breach,1,Keshavananda Bharati v. State of Kerala|Vishaka v. State of Rajasthan,Asperiores quos nesciunt quod exercitationem nemo cumque soluta. Veritatis porro expedita possimus quia. Eum illum dicta asperiores impedit voluptatem. Culpa ab veniam at ab quasi deserunt. Similique doloremque voluptas aliquam eum fuga. Facilis cupiditate ut voluptatem numquam sapiente quis. Voluptatibus quod nobis mollitia nam dignissimos. Maxime soluta pariatur qui nulla facere vel. Ipsum quibusdam aliquid nesciunt labore.
144,Raja vs Bail,"Arun Mishra, U. U. Lalit","29 April, 2015",,Section 302 in The Indian Penal Code|Bail under CrPC|Defamation,1,Olga Tellis v. Bombay Municipal Corporation|Indira Nehru Gandhi v. Raj Narain,Velit autem placeat ex molestiae delectus veritatis. Exercitationem atque itaque inventore dolores necessitatibus. Magni consequatur laudantium deleniti dolorum. Iure itaque officiis fugiat. Suscipit accusantium assumenda nesciunt illo. At esse ut. Odio harum quaerat blanditiis odio reprehenderit nostrum mollitia. Cupiditate tempore sed repellat minima soluta. Repudiandae voluptatibus natus voluptate vitae eos nihil. Asperiores veritatis eveniet cupiditate sed cupiditate distinctio. Possimus occaecati at doloribus nihil quas iusto.
145,Kapur vs Viswanathan,R. F. Nariman,"07 October, 2017",,Section 307 in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation|Keshavananda Bharati v. State of Kerala|Navtej Singh Johar v. Union of India|Maneka Gandhi v. Union of India,Fugit eos nostrum nostrum eaque et enim. Suscipit quo error aspernatur recusandae illum deserunt. Praesentium sed corrupti neque fugit. Rerum porro quasi dicta quia eum. Sunt molestias aliquid quia at. Impedit exercitationem laudantium omnis ab neque occaecati vel. Eveniet facilis consequatur saepe minus quasi. Natus praesentium minima iusto labore.
146,Kapadia vs Lalla,"R. F. Nariman, Kurian Joseph","03 March, 2022",,Section 149 in The Indian Penal Code|Labour Laws|Section 302 in The Indian Penal Code,-1,Vishaka v. State of Rajasthan|A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala|Olga Tellis v. Bombay Municipal Corporation,Eum maxime animi dicta accusantium deserunt ullam distinctio. Aperiam dolores facilis quibusdam minus. Saepe totam aut voluptatem. Placeat cum impedit officiis ratione placeat excepturi. Distinctio ab error quas odio nemo fugiat explicabo. Dolores aliquid incidunt aspernatur iure corrupti quas. Ratione odit laborum itaque ad quasi. Consequuntur non aliquid ad ut.
